"No.","Time","Source IP","Source HW","Source Port","Dest IP","Dest HW","Dest Port","Protocol","Length","Info"
"4608","4335.276392","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","11650","[TCP segment of a reassembled PDU]"
"4609","4335.276513","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","17442","[TCP segment of a reassembled PDU]"
"4610","4335.276525","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3569321 Win=295888 Len=0 TSval=6336026 TSecr=1924760"
"4611","4335.276641","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3586697 Win=292256 Len=0 TSval=6336026 TSecr=1924760"
"4612","4335.278357","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4613","4335.278364","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3602625 Win=299328 Len=0 TSval=6336027 TSecr=1924760"
"4614","4335.278387","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","17442","[TCP segment of a reassembled PDU]"
"4615","4335.278408","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","14546","[TCP segment of a reassembled PDU]"
"4616","4335.278503","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","15994","[TCP segment of a reassembled PDU]"
"4617","4335.278648","10.252.174.188","12:31:38:00:a9:4e","44307","23.20.23.147","fe:ff:ff:ff:ff:ff","80","TCP","66","44307 > http [ACK] Seq=287 Ack=3650409 Win=273792 Len=0 TSval=6336027 TSecr=1924760"
"4618","4335.279774","23.20.23.147","fe:ff:ff:ff:ff:ff","80","10.252.174.188","12:31:38:00:a9:4e","44307","TCP","18890","[TCP segment of a reassembled PDU]"
